loss,duplicates
2.7806761264801025,0
3.0599377155303955,0
3.2781078815460205,0
2.689432382583618,0
2.5274596214294434,0
2.8591115474700928,0
2.8107306957244873,0
2.2608916759490967,0
2.563004732131958,0
2.758931875228882,0
2.3353073596954346,0
2.580010175704956,0
2.5122787952423096,0
2.91689133644104,0
2.8889260292053223,0
3.160660743713379,0
2.178443193435669,0
3.0404701232910156,0
2.9514033794403076,0
1.4054771661758423,0
2.4623138904571533,0
3.014785051345825,0
3.0150461196899414,0
2.619340419769287,0
1.9827172756195068,0
2.520216941833496,0
3.4439008235931396,0
2.57224440574646,0
3.509249210357666,0
2.5407767295837402,0
2.646883726119995,0
2.8474209308624268,0
2.2229552268981934,0
3.172914743423462,0
2.731569528579712,0
3.3294870853424072,0
3.2520532608032227,0
3.3994061946868896,0
2.915076494216919,0
3.481633186340332,0
2.3438544273376465,0
2.6711068153381348,0
2.388460874557495,0
2.6620020866394043,0
3.0895047187805176,0
2.1671361923217773,0
2.847489833831787,0
1.503865361213684,0
3.116020917892456,0
3.3905959129333496,0
2.8654112815856934,0
3.521423816680908,0
3.3172082901000977,0
2.652536630630493,0
2.5284013748168945,0
2.7934446334838867,0
3.047588586807251,0
2.5696825981140137,0
2.410900831222534,0
2.5062475204467773,0
2.799826145172119,0
2.6708250045776367,0
2.5006749629974365,0
2.1850645542144775,0
2.9505765438079834,0
2.794027328491211,0
2.5203657150268555,0
2.5637283325195312,0
1.9689884185791016,0
2.8630905151367188,0
2.9444401264190674,0
2.41637921333313,0
2.735138177871704,0
2.616715431213379,0
2.409201145172119,0
2.6526098251342773,0
3.131202459335327,0
2.4721903800964355,0
2.926593542098999,0
2.88581919670105,0
3.115831136703491,0
3.199007987976074,0
3.1969709396362305,0
2.5763981342315674,0
2.6095752716064453,0
2.049727439880371,0
3.345684766769409,0
2.1894609928131104,0
2.9235646724700928,0
2.3245692253112793,0
3.326305627822876,0
2.537806272506714,0
3.202845811843872,0
3.039132595062256,0
2.6923928260803223,0
2.5397706031799316,0
2.62994384765625,0
2.4977176189422607,0
2.7681498527526855,0
2.614722490310669,0
2.7097327709198,0
3.0634267330169678,0
2.9566409587860107,0
3.299571990966797,0
2.695711135864258,0
3.0009355545043945,0
3.2661969661712646,0
3.604823589324951,0
2.5313165187835693,0
2.813798666000366,0
2.819279193878174,0
3.039463758468628,0
2.5880167484283447,0
2.814237117767334,0
2.683340311050415,0
2.9431803226470947,0
2.8251070976257324,0
2.622205972671509,0
2.888786792755127,0
2.697680711746216,0
2.82376766204834,0
2.6755175590515137,0
2.5972936153411865,0
2.7091543674468994,0
2.719285249710083,0
2.7583868503570557,0
2.737309455871582,0
2.69535231590271,0
